corpus_id,domain,subdomain,corpus_or_collection,current_primary_route,gita_press_partnership_role,confidence,direct_catalog_match_count,matched_product_codes_sample,matched_product_titles_sample,candidate_catalog_categories,potential_plan_change_if_signed,what_gita_press_can_supply,what_it_does_not_replace,fallback_if_partnership_fails,official_evidence_url,assessment_notes
COR-0021,01 Shruti and Vedic,Brahmana,Chandogya/Mantra Brahmana,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0022,01 Shruti and Vedic,Brahmana,Samhitopanishad Brahmana,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0023,01 Shruti and Vedic,Brahmana,Vamsha Brahmana,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0024,01 Shruti and Vedic,Brahmana,Jaiminiya Brahmana,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0025,01 Shruti and Vedic,Brahmana,Jaiminiya Arsheya Brahmana,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0026,01 Shruti and Vedic,Brahmana,Jaiminiya Upanishad Brahmana,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0027,01 Shruti and Vedic,Brahmana,Taittiriya Brahmana,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0028,01 Shruti and Vedic,Brahmana,Shatapatha Brahmana — Madhyandina recension,AGENT_DOWNLOAD_RIGHTS_REVIEW,D_NOT_A_REPLACEMENT,HIGH,0,,,,NO_PRIMARY_ROUTE_CHANGE; optionally add a Gita Press popular edition if catalog-matched,"Popular edition, translation, illustration or devotional explanation only where a matching product exists.","Critical/recensional evidence, population census, official calendrics, inscriptions, media rights or consented fieldwork.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0029,01 Shruti and Vedic,Brahmana,Shatapatha Brahmana — Kanva recension,AGENT_DOWNLOAD_RIGHTS_REVIEW,D_NOT_A_REPLACEMENT,HIGH,0,,,,NO_PRIMARY_ROUTE_CHANGE; optionally add a Gita Press popular edition if catalog-matched,"Popular edition, translation, illustration or devotional explanation only where a matching product exists.","Critical/recensional evidence, population census, official calendrics, inscriptions, media rights or consented fieldwork.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0030,01 Shruti and Vedic,Brahmana,Gopatha Brahmana,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0031,01 Shruti and Vedic,Aranyaka,Aitareya Aranyaka,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0032,01 Shruti and Vedic,Aranyaka,Kaushitaki/Shankhayana Aranyaka,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0033,01 Shruti and Vedic,Aranyaka,Taittiriya Aranyaka,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0034,01 Shruti and Vedic,Aranyaka,Talavakara/Jaiminiya Upanishad Brahmana aranyaka material,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0035,01 Shruti and Vedic,Aranyaka,Brihadaranyaka — Madhyandina recension,AGENT_DOWNLOAD_RIGHTS_REVIEW,D_NOT_A_REPLACEMENT,HIGH,0,,,,NO_PRIMARY_ROUTE_CHANGE; optionally add a Gita Press popular edition if catalog-matched,"Popular edition, translation, illustration or devotional explanation only where a matching product exists.","Critical/recensional evidence, population census, official calendrics, inscriptions, media rights or consented fieldwork.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0036,01 Shruti and Vedic,Aranyaka,Brihadaranyaka — Kanva recension,AGENT_DOWNLOAD_RIGHTS_REVIEW,D_NOT_A_REPLACEMENT,HIGH,0,,,,NO_PRIMARY_ROUTE_CHANGE; optionally add a Gita Press popular edition if catalog-matched,"Popular edition, translation, illustration or devotional explanation only where a matching product exists.","Critical/recensional evidence, population census, official calendrics, inscriptions, media rights or consented fieldwork.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0037,01 Shruti and Vedic,Principal Upanishads,Isha Upanishad,AGENT_DOWNLOAD_RIGHTS_REVIEW,A_DIRECT_PUBLISHED_EDITION_CANDIDATE,HIGH,5,66 | 1106 | 1421 | 1603 | 1844,Ishadi Nau Upanishad  – The Nine Principal Upanishads with Sanskrit Text and Hindi Commentary by | Language: Hindi | Code: 66 | Ishavasyopanishad | Ishadi Nau Upanishad  – The Nine Principal Upanishads with Sanskrit Text and Adi Shankaracharya Bhashya Commentary by | Language: Hindi | Code: 1421 | Ishadi Nau Upanishad  – The Nine Principal Upanishads with Bangla Commentary by | Language: Bangla | Code: 1603 | Ishavasyopanishad,Puran Upanishad and Others,PARTNERSHIP_FIRST_FOR_GITA_PRESS_EDITION; retain other editions and witnesses as separate requirements,"Catalog metadata, print/digital master, complete Gita Press edition, language variants, cover/illustrations and update history—subject to agreement.","Other publishers, critical editions, regional recensions not in catalog, or manuscript witnesses.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0038,01 Shruti and Vedic,Principal Upanishads,Kena Upanishad,AGENT_DOWNLOAD_RIGHTS_REVIEW,A_DIRECT_PUBLISHED_EDITION_CANDIDATE,MEDIUM,1,68,Kenopanishad,Puran Upanishad and Others,PARTNERSHIP_FIRST_FOR_GITA_PRESS_EDITION; retain other editions and witnesses as separate requirements,"Catalog metadata, print/digital master, complete Gita Press edition, language variants, cover/illustrations and update history—subject to agreement.","Other publishers, critical editions, regional recensions not in catalog, or manuscript witnesses.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0039,01 Shruti and Vedic,Principal Upanishads,Katha Upanishad,AGENT_DOWNLOAD_RIGHTS_REVIEW,A_DIRECT_PUBLISHED_EDITION_CANDIDATE,HIGH,3,578 | 989 | 990,Katha Upanishad – Sanskrit Text with Hindi Translation & Adi Shankaracharya Bhashya Commentary by | Language: Hindi | Code: 578 | Kathopanishad Sarlarthamu | Kathopanishad Srishankarachary Bhashyanusarasu  (Telugu),Puran Upanishad and Others,PARTNERSHIP_FIRST_FOR_GITA_PRESS_EDITION; retain other editions and witnesses as separate requirements,"Catalog metadata, print/digital master, complete Gita Press edition, language variants, cover/illustrations and update history—subject to agreement.","Other publishers, critical editions, regional recensions not in catalog, or manuscript witnesses.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0040,01 Shruti and Vedic,Principal Upanishads,Prashna Upanishad,AGENT_DOWNLOAD_RIGHTS_REVIEW,A_DIRECT_PUBLISHED_EDITION_CANDIDATE,MEDIUM,1,70,Prashna Upanishad – Sanskrit Text with Hindi Translation & Adi Shankaracharya Bhashya Commentary by | Language: Hindi | Code: 70,Puran Upanishad and Others,PARTNERSHIP_FIRST_FOR_GITA_PRESS_EDITION; retain other editions and witnesses as separate requirements,"Catalog metadata, print/digital master, complete Gita Press edition, language variants, cover/illustrations and update history—subject to agreement.","Other publishers, critical editions, regional recensions not in catalog, or manuscript witnesses.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0041,01 Shruti and Vedic,Principal Upanishads,Mundaka Upanishad,AGENT_DOWNLOAD_RIGHTS_REVIEW,A_DIRECT_PUBLISHED_EDITION_CANDIDATE,HIGH,2,513 | 2065,Mundaka Upanishad – Sanskrit Text with Hindi Translation & Adi shankaracharya Bhashya Commentary by | Language: Hindi | Code: 513 | Mundakopnishad Shrishankaracharya Bhashyasahitam  (Telugu),Puran Upanishad and Others,PARTNERSHIP_FIRST_FOR_GITA_PRESS_EDITION; retain other editions and witnesses as separate requirements,"Catalog metadata, print/digital master, complete Gita Press edition, language variants, cover/illustrations and update history—subject to agreement.","Other publishers, critical editions, regional recensions not in catalog, or manuscript witnesses.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0042,01 Shruti and Vedic,Principal Upanishads,Mandukya Upanishad and Gaudapada Karika,AGENT_DOWNLOAD_RIGHTS_REVIEW,A_DIRECT_PUBLISHED_EDITION_CANDIDATE,MEDIUM,1,69,Mandukya Upanishad – Sanskrit Text with Hindi Translation & Adi Shankaracharya Bhashya  Commentary  by | Language: Hindi | Code: 69,Puran Upanishad and Others,PARTNERSHIP_FIRST_FOR_GITA_PRESS_EDITION; retain other editions and witnesses as separate requirements,"Catalog metadata, print/digital master, complete Gita Press edition, language variants, cover/illustrations and update history—subject to agreement.","Other publishers, critical editions, regional recensions not in catalog, or manuscript witnesses.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0043,01 Shruti and Vedic,Principal Upanishads,Taittiriya Upanishad,AGENT_DOWNLOAD_RIGHTS_REVIEW,A_DIRECT_PUBLISHED_EDITION_CANDIDATE,MEDIUM,1,71,Taittiriya Upanishad – Sanskrit Text with Hindi Translation & Adi Shankaracharya Bhashya Commentary by | Language: Hindi | Code: 71,Puran Upanishad and Others,PARTNERSHIP_FIRST_FOR_GITA_PRESS_EDITION; retain other editions and witnesses as separate requirements,"Catalog metadata, print/digital master, complete Gita Press edition, language variants, cover/illustrations and update history—subject to agreement.","Other publishers, critical editions, regional recensions not in catalog, or manuscript witnesses.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
