gretil_item_id,language_section,category_path,catalogue_title,catalogue_context,downloadable_url_count,downloadable_urls,all_links,restricted_download_noted,converted_files_unavailable,expired_source_noted,agent_can_download_now,acquisition_route,public_use_status,next_action,catalogue_source_url
GRE-00011,Sanskrit,Sanskrit > Veda > Samhita > White Yajurveda,Vajasaneyi-Samhita (input by …),Vajasaneyi-Samhita (input by …) Restricted download / proprietary format from TITUS Converted file(s) not available at present,1,http://titus.uni-frankfurt.de/indexe.htm,http://titus.uni-frankfurt.de/indexe.htm,True,True,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00012,Sanskrit,Sanskrit > Veda > Brahmana,Aitareya-Brahmana (input by …),Aitareya-Brahmana (input by …) Restricted download / proprietary format from TITUS Converted file(s) not available at present,1,http://titus.uni-frankfurt.de/indexe.htm,http://titus.uni-frankfurt.de/indexe.htm,True,True,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00013,Sanskrit,Sanskrit > Veda > Brahmana,Gopatha-Brahmana (input by Arlo Griffiths),Gopatha-Brahmana (input by Arlo Griffiths) TEI-conformant XML Analytic Transformation (html) Plain Transformation (txt),3,https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_gopathabrAhmaNa.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_gopathabrAhmaNa.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_gopathabrAhmaNa.txt,https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_gopathabrAhmaNa.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_gopathabrAhmaNa.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_gopathabrAhmaNa.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_gopathabrAhmaNa.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_gopathabrAhmaNa.txt,False,False,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00014,Sanskrit,Sanskrit > Veda > Brahmana,"Gopatha-Brahmana 1,1.1-1,3.6 [alternative version] (input by Oliver Hellwig)","Gopatha-Brahmana 1,1.1-1,3.6 [alternative version] (input by Oliver Hellwig) TEI-conformant XML Analytic Transformation (html) Plain Transformation (txt) For other formats / encodings see: TITUS (restricted download / proprietary format)",4,https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_gopathabrAhmaNa-1.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_gopathabrAhmaNa-1.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_gopathabrAhmaNa-1.txt | http://titus.uni-frankfurt.de/indexe.htm,https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_gopathabrAhmaNa-1.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_gopathabrAhmaNa-1.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_gopathabrAhmaNa-1.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_gopathabrAhmaNa-1.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_gopathabrAhmaNa-1.txt | http://titus.uni-frankfurt.de/indexe.htm,True,False,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00015,Sanskrit,Sanskrit > Veda > Brahmana,Jaiminiya-Brahmana (input by …),Jaiminiya-Brahmana (input by …) Restricted download / proprietary format from TITUS Converted file(s) not available at present,1,http://titus.uni-frankfurt.de/indexe.htm,http://titus.uni-frankfurt.de/indexe.htm,True,True,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00016,Sanskrit,Sanskrit > Veda > Brahmana,Jaiminiya-Upanisad-Brahmana [Talavakara-Brahmana] (input by …),Jaiminiya-Upanisad-Brahmana [Talavakara-Brahmana] (input by …) Restricted download / proprietary format from TITUS Converted file(s) not available at present,1,http://titus.uni-frankfurt.de/indexe.htm,http://titus.uni-frankfurt.de/indexe.htm,True,True,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00017,Sanskrit,Sanskrit > Veda > Brahmana,Kathaka-Brahmana [remnants] (input by …),Kathaka-Brahmana [remnants] (input by …) Restricted download / proprietary format from TITUS Converted file(s) not available at present,1,http://titus.uni-frankfurt.de/indexe.htm,http://titus.uni-frankfurt.de/indexe.htm,True,True,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00018,Sanskrit,Sanskrit > Veda > Brahmana,Kausitaki-Brahmana [or Sankhayana-Brahmana] (input by Muneo Tokunaga),Kausitaki-Brahmana [or Sankhayana-Brahmana] (input by Muneo Tokunaga) TEI-conformant XML Analytic Transformation (html) Plain Transformation (txt) For other formats / encodings see: TITUS (restricted download / proprietary format),4,https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_kauSItakibrAhmaNa.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_kauSItakibrAhmaNa.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_kauSItakibrAhmaNa.txt | http://titus.uni-frankfurt.de/indexe.htm,https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_kauSItakibrAhmaNa.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_kauSItakibrAhmaNa.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_kauSItakibrAhmaNa.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_kauSItakibrAhmaNa.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_kauSItakibrAhmaNa.txt | http://titus.uni-frankfurt.de/indexe.htm,True,False,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00019,Sanskrit,Sanskrit > Veda > Brahmana,Mantra-Brahmana [Chandogya-Brahmana] (input by …),Mantra-Brahmana [Chandogya-Brahmana] (input by …) Restricted download / proprietary format from TITUS Converted file(s) not available at present,1,http://titus.uni-frankfurt.de/indexe.htm,http://titus.uni-frankfurt.de/indexe.htm,True,True,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00020,Sanskrit,Sanskrit > Veda > Brahmana,"Pancavimsa-Brahmana [Tandya-Maha-Brahmana] (input by Martin Kümmel, Arlo Griffiths and Masato Kobayashi)","Pancavimsa-Brahmana [Tandya-Maha-Brahmana] (input by Martin Kümmel, Arlo Griffiths and Masato Kobayashi) TEI-conformant XML Analytic Transformation (html) Plain Transformation (txt) For other formats / encodings see: TITUS (restricted download / proprietary format)",4,https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_paJcaviMzabrAhmaNa.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_paJcaviMzabrAhmaNa.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_paJcaviMzabrAhmaNa.txt | http://titus.uni-frankfurt.de/indexe.htm,https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_paJcaviMzabrAhmaNa.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_paJcaviMzabrAhmaNa.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_paJcaviMzabrAhmaNa.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_paJcaviMzabrAhmaNa.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_paJcaviMzabrAhmaNa.txt | http://titus.uni-frankfurt.de/indexe.htm,True,False,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00021,Sanskrit,Sanskrit > Veda > Brahmana,"Satapatha-Brahmana, Madhyamdina recension (input by John Robert Gardner)","Satapatha-Brahmana, Madhyamdina recension (input by John Robert Gardner) Download from Vedavid SatBr__1 SatBr__2 SatBr__3 SatBr__4 SatBr__5 SatBr__6 SatBr__7 SatBr__8 SatBr__9 SatBr_10 SatBr_11 SatBr_12 not available SatBr_13 SatBr_14 For other formats / encodings see: TITUS (restricted download / proprietary format)",15,http://vedavid.org/index.html | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_01_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_02_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_03_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_04_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_05_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_06_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_07_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_08_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_09_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_10_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_11_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_13_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_14_u.htm | http://titus.uni-frankfurt.de/indexe.htm,http://vedavid.org/index.html | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_01_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_01_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_02_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_02_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_03_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_03_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_04_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_04_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_05_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_05_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_06_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_06_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_07_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_07_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_08_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_08_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_09_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_09_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_10_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_10_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_11_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_11_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_13_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_13_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_14_u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/2_bra/satapath/sb_14_u.htm | http://titus.uni-frankfurt.de/indexe.htm,True,False,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00022,Sanskrit,Sanskrit > Veda > Brahmana,Taittiriya-Brahmana (input by …),Taittiriya-Brahmana (input by …) Restricted download / proprietary format from TITUS Converted file(s) not available at present,1,http://titus.uni-frankfurt.de/indexe.htm,http://titus.uni-frankfurt.de/indexe.htm,True,True,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00023,Sanskrit,Sanskrit > Veda > Brahmana,Vamsa-Brahmana [Kauthuma] (input by …),Vamsa-Brahmana [Kauthuma] (input by …) Restricted download / proprietary format from TITUS Converted file(s) not available at present,1,http://titus.uni-frankfurt.de/indexe.htm,http://titus.uni-frankfurt.de/indexe.htm,True,True,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00024,Sanskrit,Sanskrit > Veda > Aranyaka,Kathaka-Aranyaka [Brahmana-sections] (input by …),Kathaka-Aranyaka [Brahmana-sections] (input by …) Restricted download / proprietary format from TITUS Converted file(s) not available at present,1,http://titus.uni-frankfurt.de/indexe.htm,http://titus.uni-frankfurt.de/indexe.htm,True,True,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
