project_madurai_id,work_number,title,author,genre,language,pdf_urls,unicode_urls,agent_can_download_now,acquisition_route,public_use_status,permission_contact,next_action,catalogue_source_url
PM-5-0015,5,நாலாயிர திவ்ய பிரபந்தம் / திருப்பள்ளியெழுச்சி,தொண்டரடிப்பொடி ஆழ்வார்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0005_02.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0005_02.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-5-0016,5,நாலாயிர திவ்ய பிரபந்தம் / அமலநாதிபிரான்,திருப்பாணாழ்வார்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0005_02.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0005_02.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-5-0017,5,நாலாயிர திவ்ய பிரபந்தம் / கண்ணி நூற்றைம்பது,மதுர கவிராயர்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0005_02.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0005_02.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-5-0018,5,நாலாயிர திவ்ய பிரபந்தம் / திருமாலை,தொண்டரடிப்பொடி ஆழ்வார்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0005_02.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0005_02.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-6-0019,6,நாலாயிர திவ்ய பிரபந்தம் / பெரிய திருமொழி,திருமங்கை ஆழ்வார்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0006_01.pdf | https://projectmadurai.org/pm_etexts/pdf/pm0006_02.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0006_01.html | https://projectmadurai.org/pm_etexts/utf8/pmuni0006_02.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-7-0020,7,நாலாயிர திவ்ய பிரபந்தம் / சிறிய திருமுறை,திருமங்கை ஆழ்வார்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0007.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0007.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-7-0021,7,நாலாயிர திவ்ய பிரபந்தம் / திருக்குறுந்தாண்டகம்,திருமங்கை ஆழ்வார்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0007.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0007.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-7-0022,7,நாலாயிர திவ்ய பிரபந்தம் / திருநெடுந்தாண்டகம்,திருமங்கை ஆழ்வார்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0007.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0007.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-7-0023,7,நாலாயிர திவ்ய பிரபந்தம் / திருவந்தாதி /1,பொய்கையாழ்வார்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0007.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0007.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-7-0024,7,நாலாயிர திவ்ய பிரபந்தம் / திருவந்தாதி /2,பூதத்தாழ்வார்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0007.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0007.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-7-0025,7,நாலாயிர திவ்ய பிரபந்தம் / திருவந்தாதி /3,பேயாழ்வார்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0007.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0007.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-7-0026,7,நாலாயிர திவ்ய பிரபந்தம் / திருவாசிரியம்,நம்மாழ்வார்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0007.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0007.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-7-0027,7,நாலாயிர திவ்ய பிரபந்தம் / திருவிருத்தம்,நம்மாழ்வார்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0007.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0007.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-7-0028,7,நாலாயிர திவ்ய பிரபந்தம் / திருவெழுகூற்றிருக்கை,திருமங்கை ஆழ்வார்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0007.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0007.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-7-0029,7,நாலாயிர திவ்ய பிரபந்தம் / நான்முகன் திருவந்தாதி,திருமழிசை ஆழ்வார்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0007.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0007.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-7-0030,7,நாலாயிர திவ்ய பிரபந்தம் / பெரிய திருமடல்,திருமங்கை ஆழ்வார்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0007.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0007.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-7-0031,7,நாலாயிர திவ்ய பிரபந்தம் / பெரிய திருவந்தாதி,நம்மாழ்வார்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0007.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0007.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-8-0032,8,இராமானுஜ நூற்றந்தாதி,திருவரங்கத்து அமுதனார்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0008.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0008_01.html | https://projectmadurai.org/pm_etexts/utf8/pmuni0008_02.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-8-0033,8,நாலாயிர திவ்ய பிரபந்தம் / திருவாய்மொழி,நம்மாழ்வார்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0008.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0008_01.html | https://projectmadurai.org/pm_etexts/utf8/pmuni0008_02.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-8-0034,8,நாலாயிர திவ்ய பிரபந்தம் /4,பல ஆசிரியர்கள்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0008.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0008_01.html | https://projectmadurai.org/pm_etexts/utf8/pmuni0008_02.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-9-0035,9,திருமந்திரம் - 2 (3-6 தந்திரங்கள்),திருமூலர்,சமயம் - சைவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0009.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0009_01.html | https://projectmadurai.org/pm_etexts/utf8/pmuni0009_02.html | https://projectmadurai.org/pm_etexts/utf8/pmuni0009_03.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-9-0036,9,திருமுறை 10 /திருமந்திரம்,திருமூலர்,சமயம் - சைவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0009.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0009_01.html | https://projectmadurai.org/pm_etexts/utf8/pmuni0009_02.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-10-0037,10,திருமந்திரம் - 3 (7-9 தந்திரங்கள்),திருமூலர்,சமயம் - சைவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0010.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0010_01.html | https://projectmadurai.org/pm_etexts/utf8/pmuni0010_02.html | https://projectmadurai.org/pm_etexts/utf8/pmuni0010_03.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-10-0038,10,திருமுறை 10 /திருமந்திரம்,திருமூலர்,சமயம் - சைவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0010.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0010_01.html | https://projectmadurai.org/pm_etexts/utf8/pmuni0010_02.html | https://projectmadurai.org/pm_etexts/utf8/pmuni0010_03.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-11-0039,11,தண்ணீர் தேசம்,வைரமுத்து,கவிதைத் தொகுப்பு,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0011.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0011_01.html | https://projectmadurai.org/pm_etexts/utf8/pmuni0011_02.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-12-0040,12,தேசிய கீதங்கள்,சி. சுப்ரமணிய பாரதியார்,கவிதைத் தொகுப்பு,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0012_01.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0012_01.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-12-0041,12,தெய்வப் பாடல்கள்,சி. சுப்ரமணிய பாரதியார்,கவிதைத் தொகுப்பு,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0012_02.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0012_02.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-13-0042,13,தேசிக பிரபந்தம்,வேதாந்த தேசிகர்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0013.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0013.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-14-0043,14,பகவத் கீதை /தமிழாக்கம்; விளக்கவுரை,சி. சுப்ரமணிய பாரதியார்,நீதிநெறி நூல்கள்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0014.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0014.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-15-0044,15,நளவெண்பா,புகழேந்திப் புலவர்,இலக்கியம் - வெண்பா,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0015.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0015.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-16-0045,16,நாலடியார்,பல ஆசிரியர்கள்,நீதிநெறி – பதினெண்கீழ்க்கணக்கு,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0016.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0016.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-17-0046,17,திருக்குறள் /ஆங்கில மொழியாக்கம் (tirukkural - English translation),சுத்தானந்த பாரதியார்,நீதிநெறி – பதினெண்கீழ்க்கணக்கு,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0017.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0017.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-18-0047,18,திருவருட்பா /திருமுறை 1 (பாடல்கள் 1-570),இராமலிங்க அடிகள்,சமயம் - சைவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0018.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0018_01.html | https://projectmadurai.org/pm_etexts/utf8/pmuni0018_02.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-18-0048,18,திருவருட்பா /திருமுறை 2.1 (பாடல்கள்571-1006 ),இராமலிங்க அடிகள்,சமயம் - சைவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0018.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0018_01.html | https://projectmadurai.org/pm_etexts/utf8/pmuni0018_02.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
