queue_id,source_record_id,record_type,title,provider,planning_bucket,priority,primary_route,source_url,rights_clearance_status,status_basis,manual_note,done_definition
AQ-00011,COR-0011,MASTER_CORPUS_TARGET,Krishna Yajurveda — Kapisthala-Katha Samhita,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00012,COR-0012,MASTER_CORPUS_TARGET,Atharvaveda — Shaunaka Samhita,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00013,COR-0013,MASTER_CORPUS_TARGET,Atharvaveda — Paippalada Samhita (Kashmir and Odisha witnesses),GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00014,COR-0014,MASTER_CORPUS_TARGET,Aitareya Brahmana,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00015,COR-0015,MASTER_CORPUS_TARGET,Kaushitaki/Shankhayana Brahmana,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00016,COR-0016,MASTER_CORPUS_TARGET,Panchavimsha/Tandya Mahabrahmana,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00017,COR-0017,MASTER_CORPUS_TARGET,Shadvimsha Brahmana,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00018,COR-0018,MASTER_CORPUS_TARGET,Samavidhana Brahmana,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00019,COR-0019,MASTER_CORPUS_TARGET,Arsheya Brahmana,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00020,COR-0020,MASTER_CORPUS_TARGET,Devata/Daivata Brahmana,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00021,COR-0021,MASTER_CORPUS_TARGET,Chandogya/Mantra Brahmana,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00022,COR-0022,MASTER_CORPUS_TARGET,Samhitopanishad Brahmana,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00023,COR-0023,MASTER_CORPUS_TARGET,Vamsha Brahmana,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00024,COR-0024,MASTER_CORPUS_TARGET,Jaiminiya Brahmana,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00025,COR-0025,MASTER_CORPUS_TARGET,Jaiminiya Arsheya Brahmana,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00026,COR-0026,MASTER_CORPUS_TARGET,Jaiminiya Upanishad Brahmana,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00027,COR-0027,MASTER_CORPUS_TARGET,Taittiriya Brahmana,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00028,COR-0028,MASTER_CORPUS_TARGET,Shatapatha Brahmana — Madhyandina recension,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00029,COR-0029,MASTER_CORPUS_TARGET,Shatapatha Brahmana — Kanva recension,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00030,COR-0030,MASTER_CORPUS_TARGET,Gopatha Brahmana,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00031,COR-0031,MASTER_CORPUS_TARGET,Aitareya Aranyaka,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00032,COR-0032,MASTER_CORPUS_TARGET,Kaushitaki/Shankhayana Aranyaka,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00033,COR-0033,MASTER_CORPUS_TARGET,Taittiriya Aranyaka,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00034,COR-0034,MASTER_CORPUS_TARGET,Talavakara/Jaiminiya Upanishad Brahmana aranyaka material,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00035,COR-0035,MASTER_CORPUS_TARGET,Brihadaranyaka — Madhyandina recension,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00036,COR-0036,MASTER_CORPUS_TARGET,Brihadaranyaka — Kanva recension,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00037,COR-0037,MASTER_CORPUS_TARGET,Isha Upanishad,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00038,COR-0038,MASTER_CORPUS_TARGET,Kena Upanishad,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00039,COR-0039,MASTER_CORPUS_TARGET,Katha Upanishad,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00040,COR-0040,MASTER_CORPUS_TARGET,Prashna Upanishad,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00041,COR-0041,MASTER_CORPUS_TARGET,Mundaka Upanishad,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00042,COR-0042,MASTER_CORPUS_TARGET,Mandukya Upanishad and Gaudapada Karika,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00043,COR-0043,MASTER_CORPUS_TARGET,Taittiriya Upanishad,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00044,COR-0044,MASTER_CORPUS_TARGET,Aitareya Upanishad,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00045,COR-0045,MASTER_CORPUS_TARGET,Chandogya Upanishad,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00046,COR-0046,MASTER_CORPUS_TARGET,Brihadaranyaka Upanishad,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00047,COR-0047,MASTER_CORPUS_TARGET,Shvetashvatara Upanishad,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00048,COR-0048,MASTER_CORPUS_TARGET,Kaushitaki Upanishad,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00049,COR-0049,MASTER_CORPUS_TARGET,Maitri/Maitrayaniya Upanishad,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00050,COR-0050,MASTER_CORPUS_TARGET,Muktika canon of 108 Upanishads,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00051,COR-0051,MASTER_CORPUS_TARGET,Shiksha corpus (phonetics and recitation manuals),GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00052,COR-0052,MASTER_CORPUS_TARGET,Pratishakhya corpus by Vedic school,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00053,COR-0053,MASTER_CORPUS_TARGET,Chandas corpus including Pingala,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00054,COR-0054,MASTER_CORPUS_TARGET,Vyakarana Vedic corpus including Panini and predecessors,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00055,COR-0055,MASTER_CORPUS_TARGET,Nirukta and Nighantu corpus,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00056,COR-0056,MASTER_CORPUS_TARGET,Kalpa — Shrautasutra corpus by school,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00057,COR-0057,MASTER_CORPUS_TARGET,Kalpa — Grihyasutra corpus by school,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00058,COR-0058,MASTER_CORPUS_TARGET,Kalpa — Dharmasutra corpus by school,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00059,COR-0059,MASTER_CORPUS_TARGET,Kalpa — Shulbasutra corpus,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
